name,pfs,source,rarity,trait,item_category,item_subcategory,level,price,bulk,usage,url
Mug,Standard,Player Core pg. 290,Common,,Adventuring Gear,,0,1 cp,,,/Equipment.aspx?ID=2736
Oil,Standard,Player Core pg. 290,Common,,Adventuring Gear,,0,1 cp,,,/Equipment.aspx?ID=2739
Pinwheel,Standard,Grand Bazaar pg. 59,Common,,Adventuring Gear,,0,1 cp,,held in 1 hand,/Equipment.aspx?ID=1338
Piton,Standard,Player Core pg. 290,Common,,Adventuring Gear,,0,1 cp,,,/Equipment.aspx?ID=2742
Sack,Standard,Player Core pg. 290,Common,,Adventuring Gear,,0,1 cp,L,,/Equipment.aspx?ID=2749
Shuriken,Standard,"Tian Xia Character Guide pg. 128, Player Core pg. 280",Uncommon,"Agile, Monk, Thrown, Uncommon",Weapons,Base Weapons,0,1 cp,,,/Weapons.aspx?ID=439
Sling Bullets,Standard,Player Core pg. 280,Common,,Weapons,Base Weapons,0,1 cp (price for 10),L,,/Weapons.aspx?ID=442
Ten-Foot Pole,Standard,Player Core pg. 292,Common,,Adventuring Gear,,0,1 cp,1,,/Equipment.aspx?ID=2756
Toll,Standard,Player Core pg. 294,Common,,Services,,0,1 cp,,,/Equipment.aspx?ID=2769
Torch,Standard,Player Core pg. 292,Common,,Adventuring Gear,,0,1 cp,L,,/Equipment.aspx?ID=2760
Treats (Standard),Standard,Travel Guide pg. 101,Common,,Animals and Gear,Animal Caretaking Gear,0,1 cp,,,/Equipment.aspx?ID=1705
Bedroll,Standard,Player Core pg. 287,Common,,Adventuring Gear,,0,2 cp,L,,/Equipment.aspx?ID=2706
Beverages (Pot of Coffee or Tea),Standard,Player Core pg. 294,Common,,Services,,0,2 cp,L,,/Equipment.aspx?ID=2765
Leather,,Travel Guide pg. 37,Common,,Trade Goods,,0,2 cp (+ per square yard),,,/Equipment.aspx?ID=1774
Soap,Standard,Player Core pg. 292,Common,,Adventuring Gear,,0,2 cp,,,/Equipment.aspx?ID=2752
Stabling,Standard,Player Core pg. 294,Common,,Services,,0,2 cp (per day),,,/Equipment.aspx?ID=2768
Ball,Standard,Grand Bazaar pg. 58,Common,,Adventuring Gear,,0,3 cp,L,held in 1 hand,/Equipment.aspx?ID=1328
Cat,Standard,Travel Guide pg. 101,Common,,Animals and Gear,Animals,0,3 cp,,,/Equipment.aspx?ID=1671
Ladder (10 ft.),Standard,Player Core pg. 288,Common,,Adventuring Gear,,0,3 cp,3,,/Equipment.aspx?ID=2729
Lodging (Floor Space),Standard,Player Core pg. 294,Common,,Services,,0,3 cp (per day),,,/Equipment.aspx?ID=2766
Meal (Square),Standard,Player Core pg. 294,Common,,Services,,0,3 cp,L,,/Equipment.aspx?ID=2767
Transportation (Caravan),Standard,Player Core pg. 294,Common,,Services,Transportation,0,3 cp (per 5 miles),,,/Equipment.aspx?ID=2770
Kite,Standard,Grand Bazaar pg. 58,Common,,Adventuring Gear,,0,4 cp,,held in 1 hand,/Equipment.aspx?ID=1334
Transportation (Ferry or Riverboat),Standard,Player Core pg. 294,Common,,Services,Transportation,0,4 cp (per 5 miles),,,/Equipment.aspx?ID=2770
Bandalore,Standard,Grand Bazaar pg. 58,Common,,Adventuring Gear,,0,5 cp,,held in 1 hand,/Equipment.aspx?ID=1329
Blowgun Darts,Standard,Player Core pg. 280,Common,,Weapons,Base Weapons,0,5 cp (price for 10),L,,/Weapons.aspx?ID=440
Flint and Steel,Standard,Player Core pg. 288,Common,,Adventuring Gear,,0,5 cp,,,/Equipment.aspx?ID=2723
Mask (Ordinary),Standard,Grand Bazaar pg. 92,Common,,Adventuring Gear,,0,5 cp,,worn mask,/Equipment.aspx?ID=1397
Waterskin,Standard,Player Core pg. 292,Common,,Adventuring Gear,,0,5 cp,L,,/Equipment.aspx?ID=2761
Transportation (Sailing Ship),Standard,Player Core pg. 294,Common,,Services,Transportation,0,6 cp (per 5 miles),,,/Equipment.aspx?ID=2770
Signal Whistle,Standard,Player Core pg. 292,Common,,Adventuring Gear,,0,8 cp,,,/Equipment.aspx?ID=2751
Air Bladder,Standard,Grand Bazaar pg. 92,Common,,Adventuring Gear,,0,1 sp,L 1 if inflated,held in 1 hand,/Equipment.aspx?ID=1394
Animal Bed,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animal Caretaking Gear,0,1 sp,,,/Equipment.aspx?ID=1697
Arrows,Standard,Player Core pg. 280,Common,,Weapons,Base Weapons,0,1 sp (price for 10),L,,/Weapons.aspx?ID=443
Backpack,Standard,Player Core pg. 287,Common,,Adventuring Gear,,0,1 sp,,,/Equipment.aspx?ID=2704
Backpack Ballista Bolts,Standard,Guns & Gears (Remastered) pg. 62,Uncommon,Uncommon,Weapons,Base Weapons,0,1 sp (price for 10),L,,/Weapons.aspx?ID=179
Backpack Catapult Stones,Standard,Guns & Gears (Remastered) pg. 63,Uncommon,Uncommon,Weapons,Base Weapons,0,1 sp (price for 10),1,,/Weapons.aspx?ID=180
Basic Crafter's Book,Standard,Player Core pg. 287,Common,,Adventuring Gear,,0,1 sp,L,,/Equipment.aspx?ID=2705
Beverages (Bottle of Wine),Standard,Player Core pg. 294,Common,,Services,,0,1 sp,L,,/Equipment.aspx?ID=2765
Bird,Standard,Travel Guide pg. 101,Common,,Animals and Gear,Animals,0,1 sp,,,/Equipment.aspx?ID=1669
Blocks,Standard,Grand Bazaar pg. 58,Common,,Adventuring Gear,,0,1 sp,L,held in 2 hands,/Equipment.aspx?ID=1330
Blowgun,Standard,Player Core pg. 280,Common,"Agile, Nonlethal",Weapons,Base Weapons,0,1 sp,L,,/Weapons.aspx?ID=424
Bolts,Standard,Player Core pg. 280,Common,,Weapons,Base Weapons,0,1 sp (price for 10),L,,/Weapons.aspx?ID=441
Bolts (Phalanx Piercer),Standard,Treasure Vault pg. 30,Common,,Weapons,Base Weapons,0,1 sp (price for 5),L,,/Weapons.aspx?ID=351
Bone Object,Standard,Treasure Vault pg. 169,Common,,Materials,,0,1 sp (per Bulk),,,/Equipment.aspx?ID=2358
Bone Specimen,Standard,Treasure Vault pg. 169,Common,,Materials,,0,1 sp,1,,/Equipment.aspx?ID=2358
Butterfly or Moth,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,1 sp,,,/Equipment.aspx?ID=1670
Clothing (Explorer's),Standard,Player Core pg. 291,Common,,Adventuring Gear,,0,1 sp,L,,/Equipment.aspx?ID=2715
Clothing (Ordinary),Standard,Player Core pg. 287,Common,,Adventuring Gear,,0,1 sp,,,/Equipment.aspx?ID=2715
Collar,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animal Caretaking Gear,0,1 sp,,,/Equipment.aspx?ID=1699
Disguise Kit (Replacement Cosmetics),Standard,Player Core pg. 288,Common,,Adventuring Gear,,0,1 sp,L,,/Equipment.aspx?ID=2720
Dogslicer,Standard,Player Core pg. 278,Uncommon,"Agile, Backstabber, Finesse, Goblin, Uncommon",Weapons,Base Weapons,0,1 sp,L,,/Weapons.aspx?ID=405
Doll,Standard,Grand Bazaar pg. 58,Common,,Adventuring Gear,,0,1 sp,L,held in 1 hand,/Equipment.aspx?ID=1332
Dyes and Ink,,Travel Guide pg. 37,Common,,Trade Goods,,0,1 sp (per vial),,,/Equipment.aspx?ID=1779
Earplugs,Standard,"Guns & Gears (Remastered) pg. 179, PFS Guide pg. 114",Common,,Adventuring Gear,,0,1 sp,,,/Equipment.aspx?ID=1203
Explorer's Clothing,Standard,Player Core pg. 273,Common,Comfort,Armor,Base Armor,0,1 sp,L,,/Armor.aspx?ID=39
Feed (Unique),Standard,Travel Guide pg. 101,Common,,Animals and Gear,Animal Caretaking Gear,0,1 sp (1 week),,,/Equipment.aspx?ID=1700
Ferret,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,1 sp,,,/Equipment.aspx?ID=1677
Firearm Ammunition (10 rounds),Standard,Guns & Gears (Remastered) pg. 151,Uncommon,Uncommon,Weapons,Base Weapons,0,1 sp,L,,/Weapons.aspx?ID=211
Firearm Ammunition (5 rounds),Standard,Guns & Gears (Remastered) pg. 151,Uncommon,Uncommon,Weapons,Base Weapons,0,1 sp,L,,/Weapons.aspx?ID=212
Firearm Cleaning Kit,Standard,Guns & Gears (Remastered) pg. 179,Uncommon,Uncommon,Adventuring Gear,,0,1 sp,L,,/Equipment.aspx?ID=1204
Frying Pan,Standard,"NPC Core pg. 190, Treasure Vault pg. 27",Common,"Fatal d8, Halfling",Weapons,Base Weapons,0,1 sp,L,,/Weapons.aspx?ID=517
Gerbil or Hamster,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,1 sp,,,/Equipment.aspx?ID=1681
Grappling Hook,Standard,Player Core pg. 288,Common,,Adventuring Gear,,0,1 sp,L,,/Equipment.aspx?ID=2725
Hammer,Standard,Player Core pg. 288,Common,,Adventuring Gear,,0,1 sp,L,,/Equipment.aspx?ID=2726
Hireling (Unskilled),Standard,Core Rulebook pg. 294,Common,,Services,Hirelings,0,1 sp (per day),,,/Equipment.aspx?ID=67
Javelin,Standard,Player Core pg. 280,Common,Thrown,Weapons,Base Weapons,0,1 sp,L,,/Weapons.aspx?ID=429
Juggling Club,Limited,Pathfinder #151: The Show Must Go On pg. 77,Uncommon,"Agile, Nonlethal, Thrown 20 ft., Uncommon",Weapons,Base Weapons,0,1 sp,L,,/Weapons.aspx?ID=111
Leash,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animal Caretaking Gear,0,1 sp,,,/Equipment.aspx?ID=1703
Lizard,Standard,Travel Guide pg. 101,Common,,Animals and Gear,Animals,0,1 sp,,,/Equipment.aspx?ID=1684
"Lodging (Bed, for 1)",Standard,Player Core pg. 294,Common,,Services,,0,1 sp (per day),,,/Equipment.aspx?ID=2766
Monkey's Fist,Limited,Pathfinder #157: Devil at the Dreaming Palace pg. 78,Common,"Finesse, Monk, Nonlethal",Weapons,Base Weapons,0,1 sp,,,/Weapons.aspx?ID=130
Powder,Standard,Grand Bazaar pg. 92,Common,Consumable,Adventuring Gear,,0,1 sp,L,held in 1 hand,/Equipment.aspx?ID=1399
Praying Mantis,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,1 sp,,,/Equipment.aspx?ID=1689
Rat,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,1 sp,,,/Equipment.aspx?ID=1692
Religious Symbol (Wooden),Standard,Player Core pg. 290,Common,,Adventuring Gear,,0,1 sp,L,,/Equipment.aspx?ID=2745
Sap,Standard,Player Core pg. 278,Common,"Agile, Nonlethal",Weapons,Base Weapons,0,1 sp,L,,/Weapons.aspx?ID=392
Scourge,Standard,Battlecry! pg. 118,Common,"Agile, Disarm, Finesse, Nonlethal, Sweep",Weapons,Base Weapons,0,1 sp,1,,/Weapons.aspx?ID=531
Shield Sconce,Standard,PFS Guide pg. 115,Uncommon,Uncommon,Adventuring Gear,,0,1 sp,,,/Equipment.aspx?ID=875
Silencer,Standard,Guns & Gears (Remastered) pg. 179,Uncommon,Uncommon,Adventuring Gear,,0,1 sp,L,,/Equipment.aspx?ID=1206
Spear,Standard,"Tian Xia Character Guide pg. 127, Player Core pg. 277",Common,"Monk, Thrown 20 ft.",Weapons,Base Weapons,0,1 sp,1,,/Weapons.aspx?ID=365
Spray Pellet,Standard,Treasure Vault pg. 30,Common,,Weapons,Base Weapons,0,1 sp (price for 10),L,,/Weapons.aspx?ID=353
Stone Object (Low-Grade),Standard,Treasure Vault pg. 169,Common,,Materials,,0,1 sp (per Bulk),,,/Equipment.aspx?ID=2359
Sun Shot,,Pathfinder #172: Secrets of the Temple City pg. 78,Uncommon,"Concussive, Propulsive, Uncommon",Weapons,Base Weapons,0,1 sp (price for 10),L,,/Weapons.aspx?ID=250
Tonfa,Standard,"Tian Xia Character Guide pg. 127, Grand Bazaar pg. 106",Uncommon,"Agile, Finesse, Monk, Parry, Twin, Uncommon",Weapons,Base Weapons,0,1 sp,L,,/Weapons.aspx?ID=245
Tracking Tag,Standard,Howl of the Wild pg. 113,Uncommon,Uncommon,Adventuring Gear,,0,1 sp,,,/Equipment.aspx?ID=3252
Treats (Unique),Standard,Travel Guide pg. 101,Common,,Animals and Gear,Animal Caretaking Gear,0,1 sp,,,/Equipment.aspx?ID=1705
Tri-Bladed Katar,Standard,Tian Xia Character Guide pg. 127,Uncommon,"Disarm, Fatal d8, Monk, Uncommon",Weapons,Base Weapons,0,1 sp,L,,/Weapons.aspx?ID=540
Whip,Standard,Player Core pg. 278,Common,"Disarm, Finesse, Nonlethal, Reach, Trip",Weapons,Base Weapons,0,1 sp,1,,/Weapons.aspx?ID=404
Wooden Taws,Standard,Ancestry Guide pg. 138,Common,,Weapons,Base Weapons,0,1 sp (price for 10),L,,/Weapons.aspx?ID=152
Writing Set (Extra Ink and Paper),Standard,Player Core pg. 292,Common,,Adventuring Gear,,0,1 sp,L,,/Equipment.aspx?ID=2762
Brick,,Travel Guide pg. 37,Common,,Trade Goods,,0,"1 sp, 7 cp (per 1,000 bricks)",,,/Equipment.aspx?ID=1776
8-Round Magazine,Standard,Treasure Vault pg. 30,Common,,Weapons,Base Weapons,0,2 sp,L,,/Weapons.aspx?ID=349
Ale,,Travel Guide pg. 36,Common,,Trade Goods,,0,2 sp (per keg),,,/Equipment.aspx?ID=1770
Atlatl,Standard,Treasure Vault pg. 30,Common,Propulsive,Weapons,Base Weapons,0,2 sp,1,,/Weapons.aspx?ID=329
Bayonet,Standard,Guns & Gears (Remastered) pg. 152,Common,"Agile, Attached to crossbow or firearm, Finesse",Weapons,Base Weapons,0,2 sp,L,,/Weapons.aspx?ID=186
Beverages (Keg of Ale),Standard,Player Core pg. 294,Common,,Services,,0,2 sp,2,,/Equipment.aspx?ID=2765
Bo Staff,Standard,"Tian Xia Character Guide pg. 127, Player Core pg. 278",Common,"Monk, Parry, Reach, Trip",Weapons,Base Weapons,0,2 sp,2,,/Weapons.aspx?ID=372
Boomerang,Standard,Treasure Vault pg. 30,Uncommon,"Recovery, Thrown, Uncommon",Weapons,Base Weapons,0,2 sp,L,,/Weapons.aspx?ID=332
Chakri,Standard,"Treasure Vault pg. 30, Impossible Lands pg. 220",Uncommon,"Recovery, Thrown, Uncommon",Weapons,Base Weapons,0,2 sp,L,,/Weapons.aspx?ID=333
Dagger,Standard,Player Core pg. 277,Common,"Agile, Finesse, Thrown 10 ft., Versatile S",Weapons,Base Weapons,0,2 sp,L,,/Weapons.aspx?ID=358
Dog,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,2 sp,,,/Equipment.aspx?ID=1675
Fishing Lure,Standard,War of Immortals pg. 147,Uncommon,Uncommon,Weapons,Base Weapons,0,2 sp,,,/Weapons.aspx?ID=515
Frog,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,2 sp,,,/Equipment.aspx?ID=1680
Gauntlet,Standard,Player Core pg. 277,Common,"Agile, Free-Hand",Weapons,Base Weapons,0,2 sp,L,,/Weapons.aspx?ID=359
Gi,Standard,Treasure Vault pg. 10,Common,Comfort,Armor,Base Armor,0,2 sp,L,,/Armor.aspx?ID=22
Grappling Arrow,Standard,PFS Guide pg. 115,Uncommon,Uncommon,Adventuring Gear,,0,2 sp,L,,/Equipment.aspx?ID=871
Grappling Bolt,Standard,PFS Guide pg. 115,Uncommon,Uncommon,Adventuring Gear,,0,2 sp,L,,/Equipment.aspx?ID=872
Lock (Poor),Standard,Player Core pg. 288,Common,,Adventuring Gear,,0,2 sp,,,/Equipment.aspx?ID=2731
Marbles,Standard,Grand Bazaar pg. 58,Common,,Adventuring Gear,,0,2 sp,L,held in 1 hand,/Equipment.aspx?ID=1336
Merchant's Scale,Standard,Player Core pg. 290,Common,,Adventuring Gear,,0,2 sp,L,,/Equipment.aspx?ID=2734
Nunchaku,Standard,"Tian Xia Character Guide pg. 127, Player Core pg. 278",Uncommon,"Backswing, Disarm, Finesse, Monk, Uncommon",Weapons,Base Weapons,0,2 sp,L,,/Weapons.aspx?ID=414
Padded Armor,Standard,Player Core pg. 273,Common,Comfort,Armor,Base Armor,0,2 sp,L,,/Armor.aspx?ID=40
Poi,Limited,Pathfinder #151: The Show Must Go On pg. 77,Uncommon,"Agile, Backswing, Finesse, Nonlethal, Uncommon",Weapons,Base Weapons,0,2 sp,L,,/Weapons.aspx?ID=112
Practice Targets,Standard,Guns & Gears (Remastered) pg. 179,Uncommon,Uncommon,Adventuring Gear,,0,2 sp (price for 10),L,,/Equipment.aspx?ID=1205
Puzzle Box (Simple),Standard,Grand Bazaar pg. 59,Common,,Adventuring Gear,,0,2 sp,L,held in 1 hand,/Equipment.aspx?ID=1340
Reinforced Stock,Standard,Guns & Gears (Remastered) pg. 152,Common,"Attached to crossbow or firearm, Finesse, Two-Hand d8",Weapons,Base Weapons,0,2 sp,L,,/Weapons.aspx?ID=187
Saddlebags,Standard,Player Core pg. 290,Common,,Adventuring Gear,,0,2 sp,L,,/Equipment.aspx?ID=2750
Sickle,Standard,Player Core pg. 277,Common,"Agile, Finesse, Trip",Weapons,Base Weapons,0,2 sp,L,,/Weapons.aspx?ID=364
Spider,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,2 sp,,,/Equipment.aspx?ID=1694
Tekko-Kagi,Standard,"Tian Xia Character Guide pg. 127, Gods & Magic pg. 121, Treasure Vault pg. 27",Uncommon,"Agile, Disarm, Finesse, Free-Hand, Monk, Parry, Uncommon",Weapons,Base Weapons,0,2 sp,L,,/Weapons.aspx?ID=304
Thundermace,Standard,Grand Bazaar pg. 106,Uncommon,"Backswing, Uncommon",Weapons,Base Weapons,0,2 sp,2,,/Weapons.aspx?ID=244
Transportation (Carriage),Standard,Player Core pg. 294,Common,,Services,Transportation,0,2 sp (per 5 miles),,,/Equipment.aspx?ID=2770
Tripod,Standard,Guns & Gears (Remastered) pg. 179,Uncommon,Uncommon,Adventuring Gear,,0,2 sp,1,,/Equipment.aspx?ID=1207
War Gavel,Standard,War of Immortals pg. 147,Uncommon,"Uncommon, Versatile P",Weapons,Base Weapons,0,2 sp,1,,/Weapons.aspx?ID=507
Waterproof Carrying Case,Standard,Guns & Gears (Remastered) pg. 179,Uncommon,Uncommon,Adventuring Gear,,0,2 sp,L,,/Equipment.aspx?ID=1208
Basic Face Mask,Standard,Treasure Vault pg. 105,Common,,Assistive Items,,0,3 sp,,worn,/Equipment.aspx?ID=2152
Caltrops,Standard,Player Core pg. 287,Common,,Adventuring Gear,,0,3 sp,L,,/Equipment.aspx?ID=2708
Corset Knife,Standard,Treasure Vault pg. 26,Common,"Agile, Concealable, Finesse, Thrown 10 ft.",Weapons,Base Weapons,0,3 sp,L,,/Weapons.aspx?ID=278
Forked Bipod,Standard,Guns & Gears (Remastered) pg. 152,Common,"Agile, Deadly d6, Finesse",Weapons,Base Weapons,0,3 sp,L,,/Weapons.aspx?ID=184
Katar,Standard,"Tian Xia Character Guide pg. 127, Player Core pg. 277",Uncommon,"Agile, Deadly d6, Monk, Uncommon",Weapons,Base Weapons,0,3 sp,L,,/Weapons.aspx?ID=369
Knuckle Duster,Standard,Guns & Gears (Remastered) pg. 152,Common,"Agile, Free-Hand, Monk",Weapons,Base Weapons,0,3 sp,L,,/Weapons.aspx?ID=185
Light Hammer,Standard,Player Core pg. 278,Common,"Agile, Thrown 20 ft.",Weapons,Base Weapons,0,3 sp,L,,/Weapons.aspx?ID=384
Manacles (Poor),Standard,Player Core pg. 288,Common,,Adventuring Gear,,0,3 sp,,,/Equipment.aspx?ID=2733
Sifting Pan,Standard,Howl of the Wild pg. 113,Common,,Adventuring Gear,,0,3 sp,L,,/Equipment.aspx?ID=3251
Spiked Gauntlet,Standard,Player Core pg. 277,Common,"Agile, Free-Hand",Weapons,Base Weapons,0,3 sp,L,,/Weapons.aspx?ID=366
Thieves' Toolkit (Replacement Picks),Standard,Player Core pg. 292,Common,,Adventuring Gear,,0,3 sp,L,,/Equipment.aspx?ID=2758
Throwing Knife,Standard,"Grand Bazaar pg. 106, Pathfinder #151: The Show Must Go On pg. 77",Common,"Agile, Finesse, Thrown 20 ft.",Weapons,Base Weapons,0,3 sp,L,,/Weapons.aspx?ID=243
Turtle,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,3 sp,,,/Equipment.aspx?ID=1696
War Razor,Standard,"NPC Core pg. 158, Treasure Vault pg. 30, Gods & Magic pg. 121",Common,"Agile, Backstabber, deadly d8, Finesse",Weapons,Base Weapons,0,3 sp,L,,/Weapons.aspx?ID=525
Basic Companion Chair,Standard,Treasure Vault pg. 105,Common,Companion,Assistive Items,Animal Companion Mobility Aids,0,4 sp,1,,/Equipment.aspx?ID=2147
"Cloth (wool cloth, 1 Bulk)",Standard,Travel Guide pg. 37,Common,,Trade Goods,,0,4 sp,,,/Equipment.aspx?ID=1773
Clothing (Cold-Weather),Standard,Player Core pg. 291,Common,,Adventuring Gear,,0,4 sp,L,,/Equipment.aspx?ID=2715
Clothing (Desert),Standard,Howl of the Wild pg. 112,Common,,Adventuring Gear,,0,4 sp,L,,/Equipment.aspx?ID=2715
Combat Fishing Pole,Standard,War of Immortals pg. 147,Uncommon,"Ranged Trip, Tethered, thrown 20 ft., Uncommon, Versatile P",Weapons,Base Weapons,0,4 sp,L,,/Weapons.aspx?ID=508
Cruuk,Standard,Player Core 2 pg. 274,Common,"Shove, thrown 30 ft., Tripkee",Weapons,Base Weapons,0,4 sp,L,,/Weapons.aspx?ID=471
Hatchet,Standard,Player Core pg. 278,Common,"Agile, Sweep, Thrown  10 ft.",Weapons,Base Weapons,0,4 sp,L,,/Weapons.aspx?ID=382
Light Mace,Standard,Player Core pg. 277,Common,"Agile, Finesse, Shove",Weapons,Base Weapons,0,4 sp,L,,/Weapons.aspx?ID=360
Light Pick,Standard,Player Core pg. 278,Common,"Agile, Fatal 1d8",Weapons,Base Weapons,0,4 sp,L,,/Weapons.aspx?ID=385
Palstave,Standard,War of Immortals pg. 147,Uncommon,"Sweep, Uncommon",Weapons,Base Weapons,0,4 sp,1,,/Weapons.aspx?ID=506
Piranha Kiss,Standard,Grand Bazaar pg. 106,Uncommon,"Agile, Disarm, Finesse, Uncommon",Weapons,Base Weapons,0,4 sp,L,,/Weapons.aspx?ID=239
Qat,Restricted,"Absalom, City of Lost Omens pg. 391",Common,"Alchemical, Consumable, Drug, Ingested, Poison",Alchemical Items,Drugs,0,4 sp,L,held in 1 hand,/Equipment.aspx?ID=1493
Rations,Standard,Player Core pg. 290,Common,,Adventuring Gear,,0,4 sp (1 week),L,,/Equipment.aspx?ID=2744
Tool (Short),Standard,Player Core pg. 292,Common,,Adventuring Gear,,0,4 sp,L,,/Equipment.aspx?ID=2759
Animal Call,Standard,Howl of the Wild pg. 112,Common,,Adventuring Gear,,0,5 sp,,,/Equipment.aspx?ID=3243
Basic Chair,Standard,Guns & Gears (Remastered) pg. 91,Common,,Assistive Items,Mobility Devices,0,5 sp,2,,/Equipment.aspx?ID=1160
Bloodeye Coffee,,Gamemastery Guide pg. 120,Common,"Alchemical, Consumable, Drug, Ingested, Poison",Alchemical Items,Drugs,0,5 sp,L,held in 1 hand,/Equipment.aspx?ID=623
Bola,Standard,"Player Core pg. 280, Treasure Vault pg. 30, Advanced Player's Guide pg. 248, Gods & Magic pg. 120",Common,"Nonlethal, Ranged Trip, Thrown",Weapons,Base Weapons,0,5 sp,L,,/Weapons.aspx?ID=433
Cage,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animal Caretaking Gear,0,5 sp,,,/Equipment.aspx?ID=1698
Cane,Standard,Player Core pg. 293,Common,,Assistive Items,,0,5 sp,L,,/Equipment.aspx?ID=2772
Chakram,Standard,"Tian Xia Character Guide pg. 128, Grand Bazaar pg. 105",Common,Thrown,Weapons,Base Weapons,0,5 sp,L,,/Weapons.aspx?ID=235
Climbing Kit,Standard,Player Core pg. 287,Common,,Adventuring Gear,,0,5 sp,1,,/Equipment.aspx?ID=2713
Corrective Lenses,Standard,Player Core pg. 293,Common,,Assistive Items,,0,5 sp,,,/Equipment.aspx?ID=2773
Crowbar,Standard,Player Core pg. 288,Common,,Adventuring Gear,,0,5 sp,L,,/Equipment.aspx?ID=2718
Crutch,Standard,Player Core pg. 293,Common,,Assistive Items,,0,5 sp,L,,/Equipment.aspx?ID=2774
Duck,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,5 sp,,,/Equipment.aspx?ID=1676
Dueling Cape,Standard,Player Core pg. 288,Common,,Adventuring Gear,,0,5 sp,L,,/Equipment.aspx?ID=2721
False-Bottomed Mug,Standard,Dark Archives (Remastered) pg. 82,Uncommon,Uncommon,Adventuring Gear,,0,5 sp,L,held in 1 hand,/Equipment.aspx?ID=4119
Fighting Oar,Standard,War of Immortals pg. 147,Uncommon,"Sweep, Uncommon, Versatile S",Weapons,Base Weapons,0,5 sp,2,,/Weapons.aspx?ID=505
